افغان	افغان	1
آلبانیایی	آلبانیایی	1
الجزایری	الجزایری	1
آرژانتینی	آرژانتینی	1
ارمنی	ارمنی	1
استرالیایی	استرالیایی	1
اتریشی	اتریشی	1
آذربایجانی	آذربایجانی	1
بحرینی	بحرینی	1
بنگلادشی	بنگلادشی	1
بلاروسی	بلاروسی	1
بلژیکی	بلژیکی	1
بوتانی	بوتانی	1
بولیویایی	بولیویایی	1
بوسنیایی	بوسنیایی	1
برزیلی	برزیلی	1
بلغاری	بلغاری	1
کامبوجی	کامبوجی	1
کامرونی	کامرونی	1
کانادایی	کانادایی	1
شیلیایی	شیلیایی	1
چینی	چینی	1
کلمبیایی	کلمبیایی	1
کنگویی	کنگویی	1
کاستاریکایی	کاستاریکایی	1
کروات	کروات	1
کوبایی	کوبایی	1
قبرسی	قبرسی	1
دانمارکی	دانمارکی	1
مصری	مصری	1
انگلیسی	انگلیسی	1
ایتره ای	ایتره ای	1
استونیایی	استونیایی	1
اتیوپیایی	اتیوپیایی	1
فنلاندی	فنلاندی	1
فرانسوی	فرانسوی	1
گابنی	گابنی	1
گامبیایی	گامبیایی	1
گرجی	گرجی	1
آلمانی	آلمانی	1
غنایی	غنایی	1
یونانی	یونانی	1
گواتمالایی	گواتمالایی	1
هندوراسی	هندوراسی	1
مجاری	مجاری	1
ایسلندی	ایسلندی	1
هندی	هندی	1
اندونزیایی	اندونزیایی	1
ایرانی	ایرانی	1
عراقی	عراقی	1
ایرلندی	ایرلندی	1
ایتالیایی	ایتالیایی	1
جامائیکایی	جامائیکایی	1
ژاپنی	ژاپنی	1
اردنی	اردنی	1
قزاق	قزاق	1
کنیایی	کنیایی	1
کویتی	کویتی	1
لائوسی	لائوسی	1
لیتوانیایی	لیتوانیایی	1
لبنانی	لبنانی	1
لیبریایی	لیبریایی	1
لیبیایی	لیبیایی	1
لیتوانیایی	لیتوانیایی	1
مقدونیه ای	مقدونیه ای	1
مالزیایی	مالزیایی	1
مالدیوی	مالدیوی	1
موریتانیایی	موریتانیایی	1
مکزیکی	مکزیکی	1
مغول	مغول	1
مونتنگرویی	مونتنگرویی	1
مراکشی	مراکشی	1
موزامبیکی	موزامبیکی	1
برمه ای	برمه ای	1
نامیبیایی	نامیبیایی	1
نپالی	نپالی	1
هلندی	هلندی	1
نیوزلندی	نیوزلندی	1
نیکاراگوئه ای	نیکاراگوئه ای	1
نیجریه ای	نیجریه ای	1
کره ای	کره ای	1
نروژی	نروژی	1
عمانی	عمانی	1
پاکستانی	پاکستانی	1
فلستینی	فلستینی	1
پانامایی	پانامایی	1
پاراگوئه ای	پاراگوئه ای	1
پرویی	پرویی	1
فیلیپینی	فیلیپینی	1
لهستانی	لهستانی	1
پرتغالی	پرتغالی	1
قطری	قطری	1
رومانیایی	رومانیایی	1
روس	روس	1
رواندایی	رواندایی	1
سعودی	سعودی	1
سنگالی	سنگالی	1
صرب	صرب	1
سنگاپور	سنگاپور	1
اسلواک	اسلواک	1
اسلوونیایی	اسلوونیایی	1
سومالیایی	سومالیایی	1
آفریقایی	آفریقایی	1
کره ای	کره ای	1
اسپانیایی	اسپانیایی	1
سریلانکایی	سریلانکایی	1
سودانی	سودانی	1
سرینامی	سرینامی	1
سوئدی	سوئدی	1
سوئیسی	سوئیسی	1
سوری	سوری	1
تایوانی	تایوانی	1
تاجیک	تاجیک	1
تانزانیایی	تانزانیایی	1
تایلندی	تایلندی	1
توگویی	توگویی	1
تونسی	تونسی	1
ترک	ترک	1
ترکمن	ترکمن	1
اوگاندایی	اوگاندایی	1
اکراینی	اکراینی	1
اماراتی	اماراتی	1
آمریکایی	آمریکایی	1
اروگوئه ای	اروگوئه ای	1
ازبک	ازبک	1
ونزوئلایی	ونزوئلایی	1
ویتنامی	ویتنامی	1
یمنی	یمنی	1
زامبیایی	زامبیایی	1
زیمباوه ای	زیمباوه ای	1
آش	آش	1
اشکنه	اشکنه	1
باقلاپلو	باقلاپلو	1
بریان (بریون)	بریان (بریون)	1
ترشی	ترشی	1
حلوا	حلوا	1
خاگینه	خاگینه	1
خورش قیمه	خورش قیمه	1
سمبوسه	سمبوسه	1
شربت	شربت	1
شله زرد	شله زرد	1
آبگوشت	آبگوشت	1
شیربرنج	شیربرنج	1
شیرین پلو	شیرین پلو	1
عدس پلو	عدس پلو	1
هلیم	هلیم	1
فرنی	فرنی	1
عدسی	عدسی	1
کاچی	کاچی	1
کباب	کباب	1
کله پاچه	کله پاچه	1
کلوچه	کلوچه	1
کوفته	کوفته	1
آلبالوپلو	آلبالوپلو	1
دلمه	دلمه	1
دمپختک	دمپختک	1
رشته پلو	رشته پلو	1
کوکو	کوکو	1
زرشک پلو	زرشک پلو	1
سبزی پلو	سبزی پلو	1
کتلت	کتلت	1
کلم پلو	کلم پلو	1
کله جوش	کله جوش	1
کمه‌جوش	کمه‌جوش	1
لوبیا پلو	لوبیا پلو	1
میرزاقاسمی	میرزاقاسمی	1
نخودپلو	نخودپلو	1
یتیمچه	یتیمچه	1
ترخینه	ترخینه	1
ته چین	ته چین	1
کباب چنجه	کباب چنجه	1
فسنجان	فسنجان	1
شیشلیک	شیشلیک	1
قورمه سبزی	قورمه سبزی	1
تخم مرغ گوجه	تخم مرغ گوجه	1
سوسیس بندری	سوسیس بندری	1
پلو گوجه	پلو گوجه	1
کشک بادمجان	کشک بادمجان	1
هلیم بادمجان	هلیم بادمجان	1