June 27	june 27	1.0
September 3	september 3	1.0
January 15	january 15	1.0
December 4	december 4	1.0
March 18	march 18	1.0
December 11	december 11	1.0
July 21	july 21	1.0
January 1	january 1	1.0
October 5	october 5	1.0
November 24	november 24	1.0
August 2	august 2	1.0
November 15	november 15	1.0
September 26	september 26	1.0
February 22	february 22	1.0
April 23	april 23	1.0
June 28	june 28	1.0
January 16	january 16	1.0
June 2	june 2	1.0
October 3	october 3	1.0
Friday	friday	1.0
May 4	may 4	1.0
September 4	september 4	1.0
September 24	september 24	1.0
January 17	january 17	1.0
January 27	january 27	1.0
September 5	september 5	1.0
June 3	june 3	1.0
December 5	december 5	1.0
September 22	september 22	1.0
November 13	november 13	1.0
May 2	may 2	1.0
March 2	march 2	1.0
Sunday	sunday	1.0
April 12	april 12	1.0
September 27	september 27	1.0
June 20	june 20	1.0
October 21	october 21	1.0
May 7	may 7	1.0
July 20	july 20	1.0
June 18	june 18	1.0
April 13	april 13	1.0
April 6	april 6	1.0
March 25	march 25	1.0
February 4	february 4	1.0
July 16	july 16	1.0
April 5	april 5	1.0
November 7	november 7	1.0
July 2	july 2	1.0
November 28	november 28	1.0
August 27	august 27	1.0
February 6	february 6	1.0
April 26	april 26	1.0
December 12	december 12	1.0
April 10	april 10	1.0
September 10	september 10	1.0
August 16	august 16	1.0
November 5	november 5	1.0
August 13	august 13	1.0
March 21	march 21	1.0
July 3	july 3	1.0
September 9	september 9	1.0
February 7	february 7	1.0
June 21	june 21	1.0
June 22	june 22	1.0
August 10	august 10	1.0
November 2	november 2	1.0
September 19	september 19	1.0
October 26	october 26	1.0
November 27	november 27	1.0
December 16	december 16	1.0
August 15	august 15	1.0
July 6	july 6	1.0
July 23	july 23	1.0
July 18	july 18	1.0
December 6	december 6	1.0
October 27	october 27	1.0
April 3	april 3	1.0
October 20	october 20	1.0
February 17	february 17	1.0
May 15	may 15	1.0
January 26	january 26	1.0
October 13	october 13	1.0
July 14	july 14	1.0
August 11	august 11	1.0
June 6	june 6	1.0
November 12	november 12	1.0
January 28	january 28	1.0
May 26	may 26	1.0
October 8	october 8	1.0
November 18	november 18	1.0
June 16	june 16	1.0
September 17	september 17	1.0
January 25	january 25	1.0
January 13	january 13	1.0
April 1	april 1	1.0
March 26	march 26	1.0
February 16	february 16	1.0
August 4	august 4	1.0
March 24	march 24	1.0
October 17	october 17	1.0
May 17	may 17	1.0
July 26	july 26	1.0
October 25	october 25	1.0
October 14	october 14	1.0
December 21	december 21	1.0
October 24	october 24	1.0
March 4	march 4	1.0
December 25	december 25	1.0
February 25	february 25	1.0
May 12	may 12	1.0
September 14	september 14	1.0
Wednesday	wednesday	1.0
June 4	june 4	1.0
May 13	may 13	1.0
November 3	november 3	1.0
August 6	august 6	1.0
December 27	december 27	1.0
March 14	march 14	1.0
February 18	february 18	1.0
October 23	october 23	1.0
April 7	april 7	1.0
September 12	september 12	1.0
October 11	october 11	1.0
October 15	october 15	1.0
May 25	may 25	1.0
April 20	april 20	1.0
January 20	january 20	1.0
July 19	july 19	1.0
June 9	june 9	1.0
May 21	may 21	1.0
November 8	november 8	1.0
January 2	january 2	1.0
November 4	november 4	1.0
September 20	september 20	1.0
February 24	february 24	1.0
March 15	march 15	1.0
August 26	august 26	1.0
June 11	june 11	1.0
October 7	october 7	1.0
October 22	october 22	1.0
August 18	august 18	1.0
August 14	august 14	1.0
April 28	april 28	1.0
October 28	october 28	1.0
March 8	march 8	1.0
April 18	april 18	1.0
July 13	july 13	1.0
August 17	august 17	1.0
September 6	september 6	1.0
June 25	june 25	1.0
April 9	april 9	1.0
December 26	december 26	1.0
May 23	may 23	1.0
April 24	april 24	1.0
April 4	april 4	1.0
September 23	september 23	1.0
February 1	february 1	1.0
June 1	june 1	1.0
January 4	january 4	1.0
June 7	june 7	1.0
Monday	monday	1.0
August 3	august 3	1.0
March 28	march 28	1.0
December 10	december 10	1.0
March 22	march 22	1.0
July 7	july 7	1.0
Saturday	saturday	1.0
March 10	march 10	1.0
December 18	december 18	1.0
August 12	august 12	1.0
September 2	september 2	1.0
February 20	february 20	1.0
February 9	february 9	1.0
May 9	may 9	1.0
June 14	june 14	1.0
July 11	july 11	1.0
April 2	april 2	1.0
December 1	december 1	1.0
November 22	november 22	1.0
August 28	august 28	1.0
March 7	march 7	1.0
June 8	june 8	1.0
April 15	april 15	1.0
June 10	june 10	1.0
March 5	march 5	1.0
September 8	september 8	1.0
November 25	november 25	1.0
October 10	october 10	1.0
March 13	march 13	1.0
August 19	august 19	1.0
November 14	november 14	1.0
March 16	march 16	1.0
August 20	august 20	1.0
March 9	march 9	1.0
June 17	june 17	1.0
May 16	may 16	1.0
December 19	december 19	1.0
February 27	february 27	1.0
July 9	july 9	1.0
December 20	december 20	1.0
February 21	february 21	1.0
November 16	november 16	1.0
July 24	july 24	1.0
June 12	june 12	1.0
April 25	april 25	1.0
March 20	march 20	1.0
May 20	may 20	1.0
October 18	october 18	1.0
October 12	october 12	1.0
October 6	october 6	1.0
November 17	november 17	1.0
February 10	february 10	1.0
August 8	august 8	1.0
January 22	january 22	1.0
August 7	august 7	1.0
July 25	july 25	1.0
July 1	july 1	1.0
February 8	february 8	1.0
February 13	february 13	1.0
April 11	april 11	1.0
January 7	january 7	1.0
July 15	july 15	1.0
February 2	february 2	1.0
November 9	november 9	1.0
February 12	february 12	1.0
September 25	september 25	1.0
June 24	june 24	1.0
Thursday	thursday	1.0
December 8	december 8	1.0
July 8	july 8	1.0
January 24	january 24	1.0
September 11	september 11	1.0
April 22	april 22	1.0
December 28	december 28	1.0
February 5	february 5	1.0
June 26	june 26	1.0
July 22	july 22	1.0
July 4	july 4	1.0
November 6	november 6	1.0
July 27	july 27	1.0
August 21	august 21	1.0
March 27	march 27	1.0
December 13	december 13	1.0
December 14	december 14	1.0
tomorrow	tomorrow	1.0
March 11	march 11	1.0
February 11	february 11	1.0
March 3	march 3	1.0
September 1	september 1	1.0
December 24	december 24	1.0
today	today	1.0
January 21	january 21	1.0
January 3	january 3	1.0
August 25	august 25	1.0
January 10	january 10	1.0
December 15	december 15	1.0
November 11	november 11	1.0
May 10	may 10	1.0
April 8	april 8	1.0
March 19	march 19	1.0
January 18	january 18	1.0
July 17	july 17	1.0
August 5	august 5	1.0
September 21	september 21	1.0
March 17	march 17	1.0
April 19	april 19	1.0
July 28	july 28	1.0
November 21	november 21	1.0
April 21	april 21	1.0
November 1	november 1	1.0
December 9	december 9	1.0
February 15	february 15	1.0
October 4	october 4	1.0
November 20	november 20	1.0
August 1	august 1	1.0
May 6	may 6	1.0
October 2	october 2	1.0
May 8	may 8	1.0
January 6	january 6	1.0
January 14	january 14	1.0
March 12	march 12	1.0
November 26	november 26	1.0
December 2	december 2	1.0
March 23	march 23	1.0
February 3	february 3	1.0
January 9	january 9	1.0
May 14	may 14	1.0
May 19	may 19	1.0
February 26	february 26	1.0
Tuesday	tuesday	1.0
June 5	june 5	1.0
January 11	january 11	1.0
November 23	november 23	1.0
May 22	may 22	1.0
July 5	july 5	1.0
October 19	october 19	1.0
May 28	may 28	1.0
April 17	april 17	1.0
January 5	january 5	1.0
May 24	may 24	1.0
October 9	october 9	1.0
May 5	may 5	1.0
December 7	december 7	1.0
August 23	august 23	1.0
September 28	september 28	1.0
September 15	september 15	1.0
