meze bar restaurant	meze bar restaurant	1.0
indian	indian	1.0
pizza hut city centre	pizza hut city centre	1.0
the good luck chinese food takeaway	the good luck chinese food takeaway	1.0
caffe uno	caffe uno	1.0
the gardenia	the gardenia	1.0
the oak bistro	the oak bistro	1.0
sala thong	sala thong	1.0
thanh binh	thanh binh	1.0
riverside brasserie	riverside brasserie	1.0
cambri	cambri	1.0
pizza express	pizza express	1.0
yippee noodle bar	yippee noodle bar	1.0
curry prince	curry prince	1.0
midsummer house restaurant	midsummer house restaurant	1.0
cote	cote	1.0
restaurant alimentum	restaurant alimentum	1.0
nandos city centre	nandos city centre	1.0
chiquito restaurant bar	chiquito restaurant bar	1.0
maharajah tandoori restaurant	maharajah tandoori restaurant	1.0
yu garden	yu garden	1.0
bangkok city	bangkok city	1.0
copper kettle	copper kettle	1.0
backstreet bistro	backstreet bistro	1.0
the golden curry	the golden curry	1.0
don pasquale pizzeria	don pasquale pizzeria	1.0
sesame restaurant and bar	sesame restaurant and bar	1.0
charlie	charlie	1.0
the cow pizza kitchen and bar	the cow pizza kitchen and bar	1.0
india house	india house	1.0
loch fyne	loch fyne	1.0
eraina	eraina	1.0
royal spice	royal spice	1.0
prezzo	prezzo	1.0
curry king	curry king	1.0
the nirala	the nirala	1.0
curry garden	curry garden	1.0
zizzi cambridge	zizzi cambridge	1.0
da vinci pizzeria	da vinci pizzeria	1.0
jinling noodle bar	jinling noodle bar	1.0
la raza	la raza	1.0
cotto	cotto	1.0
efes restaurant	efes restaurant	1.0
taj tandoori	taj tandoori	1.0
golden wok	golden wok	1.0
charlie chan	charlie chan	1.0
kohinoor	kohinoor	1.0
bedouin	bedouin	1.0
the cambridge chop house	the cambridge chop house	1.0
stazione restaurant and coffee bar	stazione restaurant and coffee bar	1.0
graffiti	graffiti	1.0
pizza hut	pizza hut	1.0
la mimosa	la mimosa	1.0
city stop	city stop	1.0
grafton hotel restaurant	grafton hotel restaurant	1.0
pizza hut fen ditton	pizza hut fen ditton	1.0
frankie and bennys	frankie and bennys	1.0
rajmahal	rajmahal	1.0
rice boat	rice boat	1.0
the missing sock	the missing sock	1.0
the varsity restaurant	the varsity restaurant	1.0
panahar	panahar	1.0
nandos	nandos	1.0
sitar tandoori	sitar tandoori	1.0
oak bistro	oak bistro	1.0
scudamores punt	scudamores punt	1.0
lovel	lovel	1.0
anatolia	anatolia	1.0
clowns cafe	clowns cafe	1.0
gourmet burger kitchen	gourmet burger kitchen	1.0
tandoori palace	tandoori palace	1.0
ali baba	ali baba	1.0
darrys cookhouse and wine shop	darrys cookhouse and wine shop	1.0
hakka	hakka	1.0
peking restaurant	peking restaurant	1.0
de luca cucina and bar	de luca cucina and bar	1.0
the slug and lettuce	the slug and lettuce	1.0
city stop restaurant	city stop restaurant	1.0
kymmoy	kymmoy	1.0
cambridge lodge restaurant	cambridge lodge restaurant	1.0
tandoori	tandoori	1.0
bloomsbury restaurant	bloomsbury restaurant	1.0
ugly duckling	ugly duckling	1.0
hk fusion	hk fusion	1.0
pizza hut cherry hinton	pizza hut cherry hinton	1.0
fitzbillies restaurant	fitzbillies restaurant	1.0
hotel du vin and bistro	hotel du vin and bistro	1.0
restaurant two two	restaurant two two	1.0
dojo noodle bar	dojo noodle bar	1.0
the copper kettle	the copper kettle	1.0
michaelhouse cafe	michaelhouse cafe	1.0
restaurant one seven	restaurant one seven	1.0
restaurant 1 seven	restaurant 1 seven	1.0
the hotpot	the hotpot	1.0
royal standard	royal standard	1.0
lev	lev	1.0
the river bar steakhouse and grill	the river bar steakhouse and grill	1.0
pipasha restaurant	pipasha restaurant	1.0
golden curry	golden curry	1.0
saigon city	saigon city	1.0
pizza express fen ditton	pizza express fen ditton	1.0
little seoul	little seoul	1.0
meghna	meghna	1.0
saffron brasserie	saffron brasserie	1.0
j restaurant	j restaurant	1.0
la margherita	la margherita	1.0
the lucky star	the lucky star	1.0
lan hong house	lan hong house	1.0
hotpot	hotpot	1.0
the gandhi	the gandhi	1.0
cocum	cocum	1.0
golden house	golden house	1.0
la tasca	la tasca	1.0
shanghai family restaurant	shanghai family restaurant	1.0
worth house	worth house	1.0
wagamama	wagamama	1.0
galleria	galleria	1.0
travellers rest	travellers rest	1.0
mahal of cambridge	mahal of cambridge	1.0
archway	archway	1.0
molecular gastonomy	molecular gastonomy	1.0
saint johns chop house	saint johns chop house	1.0
anatolia and efes restaurant	anatolia and efes restaurant	1.0
shiraz restaurant	shiraz restaurant	1.0
nirala	nirala	1.0
cott	cott	1.0
cambridge chop house	cambridge chop house	1.0
bridge	bridge	1.0
lucky star	lucky star	1.0
clu	clu	1.0
tang chinese	tang chinese	1.0
golden house	golden house	1.0
rice house	rice house	1.0
limehouse	limehouse	1.0
clowns	clowns	1.0
parkside pools	parkside pools	1.0
the dojo noodle bar	the dojo noodle bar	1.0
hobson house	hobson house	1.0
curry queen	curry queen	1.0
el shaddai	el shaddai	1.0
old school	old school	1.0
gardenia	gardenia	1.0
efes	efes	1.0
slug and lettuce	slug and lettuce	1.0
camboats	camboats	1.0
missing sock	missing sock	1.0
grafton	grafton	1.0
cambridge lodge	cambridge lodge	1.0
fitzbillies	fitzbillies	1.0
hamilton lodge	hamilton lodge	1.0
funky	funky	1.0
cow pizza	cow pizza	1.0
ashley	ashley	1.0
kitchen and bar	kitchen and bar	1.0
pipasha	pipasha	1.0
seasame restaurant and bar	seasame restaurant and bar	1.0
the alex	the alex	1.0
one seven	one seven	1.0
shanghi family restaurant	shanghi family restaurant	1.0
cambridge be	cambridge be	1.0
margherita	margherita	1.0
india	india	1.0
adden	adden	1.0
ian hong house	ian hong house	1.0
