christ s college	christ s college	1.0
kirkwood house	kirkwood house	1.0
bridge guest house	bridge guest house	1.0
cineworld cinema	cineworld cinema	1.0
gonville hotel	gonville hotel	1.0
ashley hotel	ashley hotel	1.0
arbury lodge guesthouse	arbury lodge guesthouse	1.0
worth house	worth house	1.0
city centre north b and b	city centre north b and b	1.0
the lensfield hotel	the lensfield hotel	1.0
funky fun house	funky fun house	1.0
riverboat georgina	riverboat georgina	1.0
backstreet bistro	backstreet bistro	1.0
the junction	the junction	1.0
express by holiday inn cambridge	express by holiday inn cambridge	1.0
all saints church	all saints church	1.0
sala thong	sala thong	1.0
byard art	byard art	1.0
london kings cross train station	london kings cross train station	1.0
la raza	la raza	1.0
alexander bed and breakfast	alexander bed and breakfast	1.0
cityroomz	cityroomz	1.0
hamilton lodge	hamilton lodge	1.0
el shaddai	el shaddai	1.0
restaurant alimentum	restaurant alimentum	1.0
allenbell	allenbell	1.0
churchill college	churchill college	1.0
clare college	clare college	1.0
parkside pools	parkside pools	1.0
cambridge arts theatre	cambridge arts theatre	1.0
frankie and bennys	frankie and bennys	1.0
huntingdon marriott hotel	huntingdon marriott hotel	1.0
university arms hotel	university arms hotel	1.0
acorn guest house	acorn guest house	1.0
soul tree nightclub	soul tree nightclub	1.0
ali baba	ali baba	1.0
tandoori palace	tandoori palace	1.0
saigon city	saigon city	1.0
zizzi cambridge	zizzi cambridge	1.0
wagamama	wagamama	1.0
the cambridge belfry	the cambridge belfry	1.0
milton country park	milton country park	1.0
a and b guest house	a and b guest house	1.0
city stop restaurant	city stop restaurant	1.0
grafton hotel restaurant	grafton hotel restaurant	1.0
the man on the moon	the man on the moon	1.0
king's college	king s college	1.0
great saint mary's church	great saint mary s church	1.0
the oak bistro	the oak bistro	1.0
club salsa	club salsa	1.0
loch fyne	loch fyne	1.0
the place	the place	1.0
la mimosa	la mimosa	1.0
la margherita	la margherita	1.0
restaurant two two	restaurant two two	1.0
queens' college	queens college	1.0
wandlebury country park	wandlebury country park	1.0
kymmoy	kymmoy	1.0
magdalene college	magdalene college	1.0
royal standard	royal standard	1.0
kings lynn train station	kings lynn train station	1.0
the fez club	the fez club	1.0
jesus green outdoor pool	jesus green outdoor pool	1.0
vue cinema	vue cinema	1.0
little saint mary's church	little saint mary s church	1.0
avalon	avalon	1.0
aylesbray lodge guest house	aylesbray lodge guest house	1.0
chinese city centre	chinese city centre	1.0
thanh binh	thanh binh	1.0
yu garden	yu garden	1.0
finches bed and breakfast	finches bed and breakfast	1.0
hakka	hakka	1.0
lovell lodge	lovell lodge	1.0
kettle's yard	kettle s yard	1.0
bloomsbury restaurant	bloomsbury restaurant	1.0
museum of classical archaeology	museum of classical archaeology	1.0
cherry hinton water play	cherry hinton water play	1.0
camboats	camboats	1.0
pizza hut cherry hinton	pizza hut cherry hinton	1.0
abbey pool and astroturf pitch	abbey pool and astroturf pitch	1.0
pizza hut	pizza hut	1.0
taj tandoori	taj tandoori	1.0
kings hedges learner pool	kings hedges learner pool	1.0
nandos city centre	nandos city centre	1.0
hobsons house	hobsons house	1.0
carolina bed and breakfast	carolina bed and breakfast	1.0
the golden curry	the golden curry	1.0
rosa's bed and breakfast	rosa s bed and breakfast	1.0
the river bar steakhouse and grill	the river bar steakhouse and grill	1.0
cafe jello gallery	cafe jello gallery	1.0
the cambridge punter	the cambridge punter	1.0
the byard art museum	the byard art museum	1.0
archway house	archway house	1.0
ugly duckling	ugly duckling	1.0
cherry hinton hall and grounds	cherry hinton hall and grounds	1.0
addenbrookes hospital	addenbrookes hospital	1.0
graffiti	graffiti	1.0
cambridge artworks	cambridge artworks	1.0
broughton house gallery	broughton house gallery	1.0
the missing sock	the missing sock	1.0
autumn house	autumn house	1.0
stazione restaurant and coffee bar	stazione restaurant and coffee bar	1.0
whale of a time	whale of a time	1.0
cambridge lodge restaurant	cambridge lodge restaurant	1.0
saint johns chop house	saint johns chop house	1.0
prezzo	prezzo	1.0
rice boat	rice boat	1.0
lan hong house	lan hong house	1.0
leverton house	leverton house	1.0
kambar	kambar	1.0
museum of archaelogy and anthropology	museum of archaelogy and anthropology	1.0
saint catharine's college	saint catharine s college	1.0
la tasca	la tasca	1.0
cambridge	cambridge	1.0
downing college	downing college	1.0
cocum	cocum	1.0
mumford theatre	mumford theatre	1.0
cote	cote	1.0
golden wok	golden wok	1.0
cambridge university botanic gardens	cambridge university botanic gardens	1.0
charlie chan	charlie chan	1.0
corpus christi	corpus christi	1.0
old schools	old schools	1.0
cambridge belfry	cambridge belfry	1.0
jinling noodle bar	jinling noodle bar	1.0
birmingham new street train station	birmingham new street train station	1.0
meze bar restaurant	meze bar restaurant	1.0
warkworth house	warkworth house	1.0
pizza express	pizza express	1.0
gonville and caius college	gonville and caius college	1.0
cambridge contemporary art	cambridge contemporary art	1.0
primavera	primavera	1.0
adc theatre	adc theatre	1.0
bedouin	bedouin	1.0
trinity college	trinity college	1.0
nusha	nusha	1.0
the good luck chinese food takeaway	the good luck chinese food takeaway	1.0
travellers rest	travellers rest	1.0
restaurant one seven	restaurant one seven	1.0
pizza hut fen ditton	pizza hut fen ditton	1.0
cambridge and county folk museum	cambridge and county folk museum	1.0
curry prince	curry prince	1.0
the nirala	the nirala	1.0
pembroke college	pembroke college	1.0
golden house	golden house	1.0
castle galleries	castle galleries	1.0
the fitzwilliam museum	the fitzwilliam museum	1.0
galleria	galleria	1.0
jesus college	jesus college	1.0
curry garden	curry garden	1.0
anatolia	anatolia	1.0
the gandhi	the gandhi	1.0
nandos	nandos	1.0
st. john's college	st. john s college	1.0
clowns cafe	clowns cafe	1.0
dojo noodle bar	dojo noodle bar	1.0
panahar	panahar	1.0
whipple museum of the history of science	whipple museum of the history of science	1.0
royal spice	royal spice	1.0
clare hall	clare hall	1.0
gallery at twelve a high street	gallery at twelve a high street	1.0
pizza hut city centre	pizza hut city centre	1.0
bishops stortford train station	bishops stortford train station	1.0
ruskin gallery	ruskin gallery	1.0
sheep's green and lammas land park fen causeway	sheep s green and lammas land park fen causeway	1.0
home from home	home from home	1.0
parkside police station	parkside police station	1.0
scudamores punting co	scudamores punting co	1.0
the cherry hinton village centre	the cherry hinton village centre	1.0
sesame restaurant and bar	sesame restaurant and bar	1.0
broxbourne train station	broxbourne train station	1.0
sidney sussex college	sidney sussex college	1.0
chiquito restaurant bar	chiquito restaurant bar	1.0
cambridge train station	cambridge train station	1.0
saffron brasserie	saffron brasserie	1.0
pizza express fen ditton	pizza express fen ditton	1.0
tenpin	tenpin	1.0
scott polar museum	scott polar museum	1.0
rice house	rice house	1.0
caffee uno	caffee uno	1.0
cotto	cotto	1.0
corpus cristi	corpus cristi	1.0
the varsity restaurant	the varsity restaurant	1.0
limehouse	limehouse	1.0
ely train station	ely train station	1.0
hotel du vin and bistro	hotel du vin and bistro	1.0
meghna	meghna	1.0
the gardenia	the gardenia	1.0
emmanuel college	emmanuel college	1.0
saint barnabas press gallery	saint barnabas press gallery	1.0
rajmahal	rajmahal	1.0
lynne strover gallery	lynne strover gallery	1.0
riverside brasserie	riverside brasserie	1.0
hughes hall	hughes hall	1.0
cherry hinton village center	cherry hinton village center	1.0
the lucky star	the lucky star	1.0
bangkok city	bangkok city	1.0
kohinoor	kohinoor	1.0
don pasquale pizzeria	don pasquale pizzeria	1.0
fitzbillies restaurant	fitzbillies restaurant	1.0
acorn house	acorn house	1.0
curry queen	curry queen	1.0
ballare	ballare	1.0
the cambridge corn exchange	the cambridge corn exchange	1.0
lens	lens	1.0
cambridge museum of technology	cambridge museum of technology	1.0
the cambridge chop house	the cambridge chop house	1.0
peterborough train station	peterborough train station	1.0
london liverpool street	london liverpool street	1.0
the copper kettle	the copper kettle	1.0
holy trinity church	holy trinity church	1.0
the slug and lettuce	the slug and lettuce	1.0
williams art and antiques	williams art and antiques	1.0
the avalon	the avalon	1.0
junction theatre	junction theatre	1.0
yippee noodle bar	yippee noodle bar	1.0
da vinci pizzeria	da vinci pizzeria	1.0
maharajah tandoori restaurant	maharajah tandoori restaurant	1.0
darrys cookhouse and wine shop	darrys cookhouse and wine shop	1.0
michaelhouse cafe	michaelhouse cafe	1.0
tang chinese	tang chinese	1.0
peking restaurant	peking restaurant	1.0
saint john's college	saint john 's college	1.0
aylesbray lodge	aylesbray lodge	1.0
the alexander bed and breakfast	the alexander bed and breakfast	1.0
cambridge belfy	cambridge belfy	1.0
kings college	kings college	1.0
eraina	eraina	1.0
people's portraits exhibition at girton college	people 's portraits exhibition at girton college	1.0
gonville	gonville	1.0
caffe uno	caffe uno	1.0
the cow pizza kitchen and bar	the cow pizza kitchen and bar	1.0
mahal of cambridge	mahal of cambridge	1.0
lovell ldoge	lovell ldoge	1.0
alyesbray lodge hotel	alyesbray lodge hotel	1.0
cambridge chop house	cambridge chop house	1.0
j restaurant	j restaurant	1.0
172 chestertown road	172 chestertown road	1.0
little seoul	little seoul	1.0
stevenage train station	stevenage train station	1.0
downing street	downing street	1.0
gourmet burger kitchen	gourmet burger kitchen	1.0
cambridge towninfo centre	cambridge towninfo centre	1.0
citiroomz	citiroomz	1.0
de luca cucina and bar	de luca cucina and bar	1.0
london liverpool street train station	london liverpool street train station	1.0
cinema	cinema	1.0
museum	museum	1.0
shiraz restaurant	shiraz restaurant	1.0
clair hall	clair hall	1.0
sitar tandoori	sitar tandoori	1.0
cambridge book and print gallery	cambridge book and print gallery	1.0
norwich train station	norwich train station	1.0
home	home	1.0
regency gallery	regency gallery	1.0
nstaot mentioned	nstaot mentioned	1.0
new england	new england	1.0
the hotpot	the hotpot	1.0
park	park	1.0
the allenbell	the allenbell	1.0
